customer_id,gender,satisfaction
228,Female,Satisfied
229,Female,Not Satisfied
230,Female,Not Satisfied
231,Female,Not Satisfied
232,Female,Not Satisfied
233,Female,Not Satisfied
234,Female,Satisfied
235,Female,Satisfied
236,Female,Not Satisfied
237,Female,Satisfied
238,Female,Satisfied
239,Female,Not Satisfied
240,Female,Satisfied
241,Female,Not Satisfied
242,Female,Not Satisfied
243,Female,Not Satisfied
244,Female,Satisfied
245,Female,Satisfied
246,Female,Not Satisfied
247,Female,Satisfied
248,Female,Not Satisfied
249,Female,Not Satisfied
250,Female,Not Satisfied
251,Female,Satisfied
252,Female,Satisfied
253,Female,Not Satisfied
254,Female,Satisfied
255,Female,Satisfied
256,Female,Not Satisfied
257,Female,Not Satisfied
258,Female,Not Satisfied
259,Female,Not Satisfied
260,Female,Satisfied
261,Female,Not Satisfied
262,Female,Not Satisfied
263,Female,Satisfied
264,Female,Not Satisfied
265,Female,Not Satisfied
266,Female,Not Satisfied
267,Female,Not Satisfied
268,Female,Not Satisfied
269,Female,Satisfied
270,Female,Satisfied
271,Female,Not Satisfied
272,Female,Not Satisfied
273,Female,Not Satisfied
274,Female,Not Satisfied
275,Female,Not Satisfied
276,Female,Not Satisfied
277,Female,Not Satisfied
278,Female,Not Satisfied
279,Female,Not Satisfied
280,Female,Not Satisfied
281,Female,Not Satisfied
282,Female,Satisfied
283,Female,Satisfied
284,Female,Satisfied
285,Female,Not Satisfied
286,Female,Satisfied
287,Female,Satisfied
288,Female,Not Satisfied
289,Female,Satisfied
290,Female,Not Satisfied
291,Female,Satisfied
292,Female,Satisfied
293,Female,Not Satisfied
294,Female,Satisfied
295,Female,Satisfied
296,Female,Not Satisfied
297,Female,Not Satisfied
298,Female,Satisfied
299,Female,Not Satisfied
300,Female,Satisfied
301,Female,Satisfied
302,Female,Not Satisfied
303,Female,Not Satisfied
304,Female,Not Satisfied
305,Female,Not Satisfied
306,Female,Not Satisfied
307,Female,Not Satisfied
308,Female,Satisfied
309,Female,Not Satisfied
310,Female,Satisfied
311,Female,Satisfied
312,Female,Satisfied
313,Female,Satisfied
314,Female,Not Satisfied
315,Female,Not Satisfied
316,Female,Not Satisfied
317,Female,Satisfied
318,Female,Satisfied
319,Female,Satisfied
320,Female,Satisfied
321,Female,Not Satisfied
322,Female,Not Satisfied
323,Female,Not Satisfied
324,Female,Satisfied
325,Female,Not Satisfied
326,Female,Not Satisfied
327,Female,Not Satisfied
328,Female,Not Satisfied
329,Female,Satisfied
330,Female,Satisfied
331,Female,Satisfied
332,Female,Not Satisfied
333,Female,Satisfied
334,Female,Satisfied
335,Female,Satisfied
336,Female,Satisfied
337,Female,Not Satisfied
338,Female,Not Satisfied
339,Female,Satisfied
340,Female,Satisfied
341,Female,Satisfied
342,Female,Satisfied
343,Female,Satisfied
344,Female,Satisfied
345,Female,Satisfied
346,Female,Not Satisfied
347,Female,Not Satisfied
348,Female,Satisfied
349,Female,Satisfied
350,Female,Not Satisfied
351,Female,Not Satisfied
352,Female,Not Satisfied
353,Female,Not Satisfied
354,Female,Satisfied
355,Female,Satisfied
356,Female,Not Satisfied
357,Female,Satisfied
358,Female,Not Satisfied
359,Female,Not Satisfied
360,Female,Not Satisfied
361,Female,Satisfied
362,Female,Not Satisfied
363,Female,Satisfied
364,Female,Not Satisfied
365,Female,Not Satisfied
366,Female,Satisfied
367,Female,Not Satisfied
368,Female,Not Satisfied
369,Female,Satisfied
370,Female,Satisfied
371,Female,Satisfied
372,Female,Satisfied
373,Female,Satisfied
374,Female,Not Satisfied
375,Female,Satisfied
376,Female,Satisfied
377,Female,Not Satisfied
378,Female,Satisfied
379,Female,Not Satisfied
380,Female,Satisfied
381,Female,Satisfied
382,Female,Not Satisfied
383,Female,Not Satisfied
384,Female,Not Satisfied
385,Female,Not Satisfied
386,Female,Not Satisfied
387,Female,Satisfied
388,Female,Satisfied
389,Female,Not Satisfied
390,Female,Not Satisfied
391,Female,Not Satisfied
392,Female,Satisfied
393,Female,Satisfied
394,Female,Not Satisfied
395,Female,Satisfied
396,Female,Not Satisfied
397,Female,Not Satisfied
398,Female,Satisfied
399,Female,Not Satisfied
400,Female,Not Satisfied
