customer_id,acquisition_date,acquisition_channel,acquisition_cost
71,2024-03-11,Email Marketing,56.3
72,2024-03-12,Organic Search,80.5
73,2024-03-13,Organic Search,45.7
74,2024-03-14,Email Marketing,66.0
75,2024-03-15,Email Marketing,87.6
76,2024-03-16,Email Marketing,95.5
77,2024-03-17,Email Marketing,23.2
78,2024-03-18,Organic Search,93.4
79,2024-03-19,Organic Search,54.3
80,2024-03-20,Organic Search,33.2
81,2024-03-21,Referral,51.3
82,2024-03-22,Social Media,98.2
83,2024-03-23,Organic Search,54.3
84,2024-03-24,Organic Search,39.6
85,2024-03-25,Organic Search,67.0
86,2024-03-26,Organic Search,31.6
87,2024-03-27,Email Marketing,16.8
88,2024-03-28,Social Media,21.6
89,2024-03-29,Referral,21.5
90,2024-03-30,Social Media,23.7
91,2024-03-31,Organic Search,22.5
92,2024-04-01,Email Marketing,67.7
93,2024-04-02,Email Marketing,26.4
94,2024-04-03,Social Media,41.1
95,2024-04-04,Email Marketing,90.7
96,2024-04-05,Social Media,52.7
97,2024-04-06,Social Media,70.1
98,2024-04-07,Social Media,25.5
99,2024-04-08,Organic Search,27.3
100,2024-04-09,Organic Search,13.7
101,2024-04-10,Organic Search,25.2
102,2024-04-11,Social Media,35.1
103,2024-04-12,Organic Search,25.9
104,2024-04-13,Social Media,18.0
105,2024-04-14,Referral,20.9
106,2024-04-15,Organic Search,51.5
107,2024-04-16,Social Media,28.6
108,2024-04-17,Email Marketing,42.8
109,2024-04-18,Organic Search,55.3
110,2024-04-19,Organic Search,72.1
111,2024-04-20,Organic Search,13.5
112,2024-04-21,Organic Search,81.9
113,2024-04-22,Referral,66.5
114,2024-04-23,Email Marketing,17.4
115,2024-04-24,Social Media,88.6
116,2024-04-25,Referral,92.9
117,2024-04-26,Email Marketing,15.5
118,2024-04-27,Organic Search,34.9
119,2024-04-28,Referral,82.6
120,2024-04-29,Social Media,77.3
121,2024-04-30,Email Marketing,26.6
122,2024-05-01,Referral,28.8
123,2024-05-02,Organic Search,43.3
124,2024-05-03,Organic Search,53.6
125,2024-05-04,Organic Search,65.6
126,2024-05-05,Social Media,43.2
127,2024-05-06,Email Marketing,51.6
128,2024-05-07,Referral,77.3
129,2024-05-08,Organic Search,13.3
130,2024-05-09,Social Media,32.7
131,2024-05-10,Social Media,74.2
132,2024-05-11,Organic Search,90.6
133,2024-05-12,Organic Search,56.1
134,2024-05-13,Organic Search,57.9
135,2024-05-14,Referral,19.6
136,2024-05-15,Organic Search,50.3
137,2024-05-16,Social Media,57.9
138,2024-05-17,Email Marketing,31.8
139,2024-05-18,Organic Search,34.2
140,2024-05-19,Direct,44.0
141,2024-05-20,Direct,11.8
142,2024-05-21,Organic Search,39.0
143,2024-05-22,Social Media,29.0
144,2024-05-23,Organic Search,39.5
145,2024-05-24,Organic Search,20.8
146,2024-05-25,Organic Search,90.1
147,2024-05-26,Social Media,63.4
148,2024-05-27,Social Media,71.1
149,2024-05-28,Organic Search,81.0
150,2024-05-29,Organic Search,54.9
151,2024-05-30,Referral,17.8
152,2024-05-31,Organic Search,58.3
153,2024-06-01,Organic Search,62.8
154,2024-06-02,Social Media,77.1
155,2024-06-03,Direct,48.8
156,2024-06-04,Organic Search,21.5
157,2024-06-05,Email Marketing,35.5
158,2024-06-06,Email Marketing,42.7
159,2024-06-07,Organic Search,68.1
160,2024-06-08,Email Marketing,61.4
161,2024-06-09,Organic Search,42.0
162,2024-06-10,Social Media,98.8
163,2024-06-11,Social Media,64.5
164,2024-06-12,Social Media,31.4
165,2024-06-13,Organic Search,19.2
166,2024-06-14,Email Marketing,23.8
167,2024-06-15,Organic Search,32.1
168,2024-06-16,Organic Search,24.5
169,2024-06-17,Organic Search,26.8
170,2024-06-18,Social Media,35.7
171,2024-06-19,Email Marketing,25.6
172,2024-06-20,Organic Search,90.7
173,2024-06-21,Social Media,17.2
174,2024-06-22,Organic Search,57.2
175,2024-06-23,Social Media,46.9
176,2024-06-24,Organic Search,98.4
177,2024-06-25,Email Marketing,20.1
178,2024-06-26,Organic Search,45.8
179,2024-06-27,Referral,97.3
180,2024-06-28,Organic Search,87.9
181,2024-06-29,Organic Search,83.5
182,2024-06-30,Organic Search,33.2
183,2024-07-01,Referral,25.4
184,2024-07-02,Referral,70.2
185,2024-07-03,Organic Search,93.6
186,2024-07-04,Email Marketing,60.1
187,2024-07-05,Email Marketing,61.4
188,2024-07-06,Social Media,35.2
189,2024-07-07,Social Media,79.3
190,2024-07-08,Organic Search,26.8
191,2024-07-09,Organic Search,39.1
192,2024-07-10,Referral,48.3
193,2024-07-11,Referral,55.7
194,2024-07-12,Social Media,31.8
195,2024-07-13,Organic Search,20.3
196,2024-07-14,Organic Search,65.0
197,2024-07-15,Email Marketing,36.0
198,2024-07-16,Referral,62.3
199,2024-07-17,Referral,23.9
200,2024-07-18,Email Marketing,53.3
201,2024-07-19,Social Media,57.9
202,2024-07-20,Organic Search,14.7
203,2024-07-21,Organic Search,40.3
204,2024-07-22,Referral,22.1
205,2024-07-23,Social Media,15.7
206,2024-07-24,Organic Search,99.1
207,2024-07-25,Organic Search,39.0
208,2024-07-26,Email Marketing,82.9
209,2024-07-27,Organic Search,32.9
210,2024-07-28,Organic Search,71.3
211,2024-07-29,Social Media,78.4
212,2024-07-30,Email Marketing,63.6
213,2024-07-31,Email Marketing,52.4
214,2024-08-01,Organic Search,47.1
215,2024-08-02,Email Marketing,41.4
216,2024-08-03,Organic Search,93.7
217,2024-08-04,Organic Search,84.8
218,2024-08-05,Email Marketing,96.9
219,2024-08-06,Social Media,21.2
220,2024-08-07,Email Marketing,75.8
221,2024-08-08,Email Marketing,94.5
222,2024-08-09,Social Media,26.3
223,2024-08-10,Organic Search,16.0
224,2024-08-11,Organic Search,76.7
225,2024-08-12,Organic Search,61.7
226,2024-08-13,Organic Search,85.8
227,2024-08-14,Direct,22.6
228,2024-08-15,Organic Search,81.6
229,2024-08-16,Referral,28.1
230,2024-08-17,Social Media,24.7
231,2024-08-18,Email Marketing,24.8
232,2024-08-19,Social Media,83.3
233,2024-08-20,Social Media,69.9
234,2024-08-21,Social Media,57.1
235,2024-08-22,Organic Search,42.3
236,2024-08-23,Email Marketing,88.9
237,2024-08-24,Organic Search,45.3
238,2024-08-25,Organic Search,83.5
239,2024-08-26,Social Media,49.5
240,2024-08-27,Organic Search,43.9
241,2024-08-28,Referral,51.6
242,2024-08-29,Direct,37.1
243,2024-08-30,Referral,77.3
244,2024-08-31,Organic Search,55.2
245,2024-09-01,Organic Search,30.9
246,2024-09-02,Referral,91.0
247,2024-09-03,Social Media,44.6
248,2024-09-04,Direct,58.9
249,2024-09-05,Direct,91.6
250,2024-09-06,Referral,66.2
251,2024-09-07,Organic Search,20.5
252,2024-09-08,Organic Search,94.6
253,2024-09-09,Referral,66.5
254,2024-09-10,Organic Search,40.1
255,2024-09-11,Organic Search,22.5
256,2024-09-12,Social Media,81.5
257,2024-09-13,Referral,65.8
258,2024-09-14,Email Marketing,58.0
259,2024-09-15,Social Media,90.5
260,2024-09-16,Organic Search,81.0
261,2024-09-17,Social Media,23.7
262,2024-09-18,Direct,38.1
263,2024-09-19,Organic Search,32.4
264,2024-09-20,Social Media,77.0
265,2024-09-21,Referral,13.0
266,2024-09-22,Email Marketing,61.3
267,2024-09-23,Email Marketing,78.6
268,2024-09-24,Email Marketing,88.9
269,2024-09-25,Organic Search,40.8
270,2024-09-26,Organic Search,83.9
271,2024-09-27,Email Marketing,20.0
272,2024-09-28,Email Marketing,86.2
273,2024-09-29,Referral,21.5
274,2024-09-30,Referral,45.8
275,2024-10-01,Social Media,81.8
276,2024-10-02,Social Media,23.5
277,2024-10-03,Email Marketing,30.6
278,2024-10-04,Social Media,75.0
279,2024-10-05,Email Marketing,74.8
280,2024-10-06,Email Marketing,67.7
281,2024-10-07,Referral,72.5
282,2024-10-08,Organic Search,58.8
283,2024-10-09,Organic Search,32.7
284,2024-10-10,Organic Search,41.1
285,2024-10-11,Social Media,26.3
286,2024-10-12,Organic Search,91.8
287,2024-10-13,Social Media,62.5
288,2024-10-14,Social Media,46.1
289,2024-10-15,Organic Search,51.6
290,2024-10-16,Social Media,95.3
291,2024-10-17,Organic Search,23.8
292,2024-10-18,Organic Search,62.8
293,2024-10-19,Email Marketing,55.5
294,2024-10-20,Organic Search,65.0
295,2024-10-21,Organic Search,11.6
296,2024-10-22,Social Media,88.5
297,2024-10-23,Email Marketing,93.9
298,2024-10-24,Organic Search,60.9
299,2024-10-25,Social Media,72.7
300,2024-10-26,Organic Search,93.0
301,2024-10-27,Organic Search,73.7
302,2024-10-28,Social Media,23.7
303,2024-10-29,Social Media,61.9
304,2024-10-30,Social Media,64.6
305,2024-10-31,Email Marketing,48.2
306,2024-11-01,Direct,76.3
307,2024-11-02,Social Media,94.1
308,2024-11-03,Organic Search,93.3
309,2024-11-04,Email Marketing,50.6
310,2024-11-05,Organic Search,20.2
311,2024-11-06,Social Media,98.6
312,2024-11-07,Organic Search,85.5
313,2024-11-08,Organic Search,21.2
314,2024-11-09,Direct,92.9
315,2024-11-10,Email Marketing,88.3
316,2024-11-11,Email Marketing,56.7
317,2024-11-12,Social Media,63.2
318,2024-11-13,Organic Search,45.9
319,2024-11-14,Organic Search,14.9
320,2024-11-15,Organic Search,40.2
321,2024-11-16,Social Media,82.3
322,2024-11-17,Email Marketing,10.4
323,2024-11-18,Email Marketing,40.0
324,2024-11-19,Organic Search,45.8
325,2024-11-20,Direct,58.4
326,2024-11-21,Email Marketing,92.8
327,2024-11-22,Social Media,41.2
328,2024-11-23,Social Media,41.2
329,2024-11-24,Social Media,76.4
330,2024-11-25,Organic Search,50.7
331,2024-11-26,Organic Search,30.2
332,2024-11-27,Email Marketing,50.7
333,2024-11-28,Organic Search,22.7
334,2024-11-29,Organic Search,25.9
335,2024-11-30,Organic Search,54.9
336,2024-12-01,Organic Search,47.7
337,2024-12-02,Referral,92.3
338,2024-12-03,Email Marketing,42.6
339,2024-12-04,Social Media,62.3
340,2024-12-05,Organic Search,66.9
341,2024-12-06,Social Media,11.2
342,2024-12-07,Social Media,69.7
343,2024-12-08,Organic Search,26.0
344,2024-12-09,Social Media,96.5
345,2024-12-10,Organic Search,23.4
346,2024-12-11,Social Media,47.3
347,2024-12-12,Social Media,17.7
348,2024-12-13,Organic Search,99.7
349,2024-12-14,Organic Search,55.2
350,2024-12-15,Social Media,63.6
351,2024-12-16,Social Media,16.0
352,2024-12-17,Referral,77.5
353,2024-12-18,Email Marketing,28.9
354,2024-12-19,Organic Search,90.8
355,2024-12-20,Organic Search,28.5
356,2024-12-21,Social Media,27.2
357,2024-12-22,Organic Search,13.3
358,2024-12-23,Social Media,52.5
359,2024-12-24,Referral,60.8
360,2024-12-25,Social Media,15.9
361,2024-12-26,Organic Search,79.8
362,2024-12-27,Social Media,50.8
363,2024-12-28,Social Media,57.2
364,2024-12-29,Social Media,49.7
365,2024-12-30,Referral,46.1
366,2024-12-31,Organic Search,60.4
367,2025-01-01,Direct,24.0
368,2025-01-02,Referral,26.4
369,2025-01-03,Organic Search,87.6
370,2025-01-04,Organic Search,95.2
371,2025-01-05,Organic Search,43.6
372,2025-01-06,Organic Search,34.4
373,2025-01-07,Organic Search,68.0
374,2025-01-08,Email Marketing,46.8
375,2025-01-09,Organic Search,12.3
376,2025-01-10,Organic Search,24.1
377,2025-01-11,Email Marketing,74.4
378,2025-01-12,Organic Search,69.3
379,2025-01-13,Email Marketing,12.4
380,2025-01-14,Organic Search,30.0
381,2025-01-15,Organic Search,30.8
382,2025-01-16,Email Marketing,70.5
383,2025-01-17,Social Media,11.8
384,2025-01-18,Referral,19.4
385,2025-01-19,Email Marketing,82.0
386,2025-01-20,Email Marketing,26.1
387,2025-01-21,Organic Search,68.7
388,2025-01-22,Organic Search,31.4
389,2025-01-23,Email Marketing,18.9
390,2025-01-24,Email Marketing,31.9
391,2025-01-25,Direct,75.0
392,2025-01-26,Social Media,87.0
393,2025-01-27,Organic Search,84.7
394,2025-01-28,Email Marketing,45.7
395,2025-01-29,Organic Search,70.1
396,2025-01-30,Referral,28.4
397,2025-01-31,Referral,36.4
398,2025-02-01,Social Media,90.7
399,2025-02-02,Email Marketing,11.2
400,2025-02-03,Email Marketing,17.7
401,2025-02-04,Organic Search,28.7
402,2025-02-05,Referral,12.4
403,2025-02-06,Social Media,26.3
404,2025-02-07,Email Marketing,62.5
405,2025-02-08,Organic Search,47.9
406,2025-02-09,Referral,90.3
407,2025-02-10,Organic Search,83.6
408,2025-02-11,Organic Search,40.8
409,2025-02-12,Referral,33.3
410,2025-02-13,Organic Search,44.2
411,2025-02-14,Organic Search,63.1
412,2025-02-15,Direct,34.1
413,2025-02-16,Direct,66.2
414,2025-02-17,Social Media,46.8
415,2025-02-18,Social Media,59.7
416,2025-02-19,Social Media,49.3
417,2025-02-20,Organic Search,36.5
418,2025-02-21,Organic Search,95.4
419,2025-02-22,Email Marketing,78.7
420,2025-02-23,Email Marketing,22.6
421,2025-02-24,Email Marketing,88.2
422,2025-02-25,Email Marketing,53.9
423,2025-02-26,Organic Search,90.5
424,2025-02-27,Social Media,82.0
425,2025-02-28,Organic Search,48.3
426,2025-03-01,Social Media,12.0
427,2025-03-02,Social Media,34.2
428,2025-03-03,Referral,58.7
429,2025-03-04,Organic Search,67.0
430,2025-03-05,Organic Search,33.2
431,2025-03-06,Organic Search,22.5
432,2025-03-07,Email Marketing,85.1
433,2025-03-08,Social Media,98.6
434,2025-03-09,Organic Search,57.3
435,2025-03-10,Organic Search,25.5
436,2025-03-11,Email Marketing,34.5
437,2025-03-12,Organic Search,11.7
438,2025-03-13,Email Marketing,92.3
439,2025-03-14,Email Marketing,20.6
440,2025-03-15,Organic Search,61.9
441,2025-03-16,Organic Search,34.7
442,2025-03-17,Direct,59.9
443,2025-03-18,Organic Search,68.6
444,2025-03-19,Organic Search,84.7
445,2025-03-20,Email Marketing,28.6
446,2025-03-21,Referral,11.0
447,2025-03-22,Direct,22.3
448,2025-03-23,Email Marketing,91.0
449,2025-03-24,Organic Search,88.7
450,2025-03-25,Organic Search,63.8
451,2025-03-26,Email Marketing,64.0
452,2025-03-27,Social Media,69.9
453,2025-03-28,Social Media,25.8
454,2025-03-29,Referral,92.3
455,2025-03-30,Organic Search,47.7
456,2025-03-31,Social Media,44.5
457,2025-04-01,Organic Search,56.7
458,2025-04-02,Social Media,14.2
459,2025-04-03,Organic Search,25.0
460,2025-04-04,Organic Search,76.4
461,2025-04-05,Organic Search,17.5
462,2025-04-06,Social Media,64.3
463,2025-04-07,Email Marketing,32.1
464,2025-04-08,Social Media,45.0
465,2025-04-09,Direct,36.0
466,2025-04-10,Organic Search,42.0
467,2025-04-11,Organic Search,74.7
468,2025-04-12,Referral,36.7
469,2025-04-13,Organic Search,61.0
470,2025-04-14,Direct,52.8
471,2025-04-15,Organic Search,69.7
472,2025-04-16,Direct,94.3
473,2025-04-17,Organic Search,75.9
474,2025-04-18,Referral,29.3
475,2025-04-19,Social Media,12.8
476,2025-04-20,Direct,33.6
477,2025-04-21,Organic Search,63.6
478,2025-04-22,Social Media,14.6
479,2025-04-23,Direct,54.7
480,2025-04-24,Social Media,63.7
481,2025-04-25,Social Media,40.1
482,2025-04-26,Email Marketing,79.4
483,2025-04-27,Social Media,19.6
484,2025-04-28,Social Media,16.8
485,2025-04-29,Social Media,75.5
486,2025-04-30,Referral,54.6
487,2025-05-01,Organic Search,72.0
488,2025-05-02,Organic Search,49.1
489,2025-05-03,Direct,32.2
490,2025-05-04,Referral,83.7
491,2025-05-05,Social Media,81.9
492,2025-05-06,Social Media,72.5
493,2025-05-07,Organic Search,34.5
494,2025-05-08,Organic Search,63.1
495,2025-05-09,Social Media,42.5
496,2025-05-10,Organic Search,18.2
497,2025-05-11,Social Media,92.6
498,2025-05-12,Organic Search,22.3
499,2025-05-13,Direct,95.5
500,2025-05-14,Direct,50.1
