customer_id,gender,acquisition_channel
275,Female,Social Media
276,Female,Social Media
277,Female,Email Marketing
278,Female,Email Marketing
279,Female,Email Marketing
280,Female,Email Marketing
281,Female,Referral
282,Female,Social Media
283,Female,Social Media
284,Female,Organic Search
285,Female,Social Media
286,Female,Organic Search
287,Female,Social Media
288,Female,Social Media
289,Female,Social Media
290,Female,Social Media
291,Female,Organic Search
292,Female,Organic Search
293,Female,Email Marketing
294,Female,Social Media
295,Female,Organic Search
296,Female,Social Media
297,Female,Email Marketing
298,Female,Organic Search
299,Female,Email Marketing
300,Female,Organic Search
301,Female,Organic Search
302,Female,Social Media
303,Female,Social Media
304,Female,Email Marketing
305,Female,Email Marketing
306,Female,Direct
307,Female,Social Media
308,Female,Social Media
309,Female,Email Marketing
310,Female,Social Media
311,Female,Social Media
312,Female,Organic Search
313,Female,Organic Search
314,Female,Direct
315,Female,Email Marketing
316,Female,Email Marketing
317,Female,Social Media
318,Female,Organic Search
319,Female,Organic Search
320,Female,Social Media
321,Female,Social Media
322,Female,Email Marketing
323,Female,Email Marketing
324,Female,Social Media
325,Female,Direct
326,Female,Email Marketing
327,Female,Social Media
328,Female,Email Marketing
329,Female,Social Media
330,Female,Organic Search
331,Female,Social Media
332,Female,Email Marketing
333,Female,Organic Search
334,Female,Organic Search
335,Female,Organic Search
336,Female,Organic Search
337,Female,Referral
338,Female,Email Marketing
339,Female,Social Media
340,Female,Organic Search
341,Female,Social Media
342,Female,Social Media
343,Female,Organic Search
344,Female,Social Media
345,Female,Social Media
346,Female,Email Marketing
347,Female,Email Marketing
348,Female,Organic Search
349,Female,Social Media
350,Female,Email Marketing
351,Female,Social Media
352,Female,Referral
353,Female,Email Marketing
354,Female,Organic Search
355,Female,Organic Search
356,Female,Email Marketing
357,Female,Organic Search
358,Female,Social Media
359,Female,Referral
360,Female,Social Media
361,Female,Social Media
362,Female,Email Marketing
363,Female,Social Media
364,Female,Social Media
365,Female,Referral
366,Female,Social Media
367,Female,Direct
368,Female,Referral
369,Female,Organic Search
370,Female,Organic Search
371,Female,Organic Search
372,Female,Organic Search
373,Female,Organic Search
374,Female,Email Marketing
375,Female,Organic Search
376,Female,Social Media
377,Female,Email Marketing
378,Female,Organic Search
379,Female,Email Marketing
380,Female,Social Media
381,Female,Organic Search
382,Female,Email Marketing
383,Female,Email Marketing
384,Female,Referral
385,Female,Email Marketing
386,Female,Email Marketing
387,Female,Social Media
388,Female,Organic Search
389,Female,Email Marketing
390,Female,Email Marketing
391,Female,Direct
392,Female,Social Media
393,Female,Social Media
394,Female,Email Marketing
395,Female,Social Media
396,Female,Referral
397,Female,Referral
398,Female,Social Media
399,Female,Email Marketing
400,Female,Email Marketing
401,Female,Organic Search
402,Female,Referral
403,Female,Social Media
404,Female,Email Marketing
405,Female,Social Media
406,Female,Referral
407,Female,Social Media
408,Female,Organic Search
409,Female,Referral
410,Female,Organic Search
411,Female,Social Media
412,Female,Direct
413,Female,Direct
414,Female,Social Media
415,Female,Email Marketing
416,Female,Social Media
417,Female,Social Media
418,Female,Social Media
419,Female,Email Marketing
420,Female,Email Marketing
421,Female,Email Marketing
422,Female,Email Marketing
423,Female,Organic Search
424,Female,Social Media
425,Female,Organic Search
426,Female,Social Media
427,Female,Social Media
428,Female,Referral
429,Female,Social Media
430,Female,Organic Search
431,Female,Organic Search
432,Female,Email Marketing
433,Female,Email Marketing
434,Female,Organic Search
435,Female,Organic Search
436,Female,Email Marketing
437,Female,Organic Search
438,Female,Email Marketing
439,Female,Email Marketing
440,Female,Organic Search
441,Female,Organic Search
442,Female,Direct
443,Female,Social Media
444,Female,Social Media
445,Female,Email Marketing
446,Female,Referral
447,Female,Direct
448,Female,Email Marketing
449,Female,Social Media
450,Female,Organic Search
451,Female,Email Marketing
452,Female,Social Media
453,Female,Social Media
454,Female,Referral
455,Female,Organic Search
456,Female,Social Media
457,Female,Organic Search
458,Female,Social Media
459,Female,Organic Search
460,Female,Organic Search
461,Female,Organic Search
462,Female,Email Marketing
463,Female,Email Marketing
464,Female,Social Media
465,Female,Direct
466,Female,Social Media
467,Female,Social Media
468,Female,Referral
469,Female,Organic Search
470,Female,Direct
471,Female,Organic Search
472,Female,Direct
473,Female,Organic Search
474,Female,Referral
475,Female,Social Media
476,Female,Direct
477,Female,Organic Search
478,Female,Social Media
479,Female,Direct
480,Female,Social Media
481,Female,Email Marketing
482,Female,Email Marketing
483,Female,Social Media
484,Female,Email Marketing
485,Female,Social Media
486,Female,Referral
487,Female,Organic Search
488,Female,Social Media
489,Female,Direct
490,Female,Referral
491,Female,Social Media
492,Female,Email Marketing
493,Female,Social Media
494,Female,Organic Search
495,Female,Social Media
496,Female,Social Media
497,Female,Social Media
498,Female,Organic Search
499,Female,Direct
500,Female,Direct
