Age,Years_Experience,Monthly_Salary,Monthly_Sales,Gender,Department,Marital_Status,Bonus_Received,Job_Satisfaction,City
45,22.6,93.6,29,Male,Sales,Married,No,High,Shiraz
47,6.2,37.3,31,Male,Sales,Married,Yes,Low,Tehran
46,32.9,37.6,30,Female,HR,Single,No,Low,Tehran
50,33.4,118.8,19,Male,IT,Married,No,Low,Tehran
36,32.0,63.7,30,Male,Sales,Married,Yes,High,Tehran
22,13.0,63.4,25,Female,Finance,Married,No,High,Shiraz
46,0.5,103.2,32,Female,Sales,Single,Yes,Medium,Isfahan
28,32.5,115.3,30,Female,Marketing,Single,No,Medium,Tehran
30,15.0,118.7,23,Female,IT,Single,Yes,High,Mashhad
45,33.8,97.8,22,Male,Finance,Single,No,High,Mashhad
22,33.7,63.9,25,Male,IT,Married,Yes,Medium,Mashhad
29,29.9,37.5,33,Female,IT,Married,Yes,Medium,Tehran
45,10.3,99.9,26,Female,Marketing,Married,Yes,Medium,Isfahan
32,13.5,80.3,27,Male,IT,Married,Yes,Medium,Mashhad
38,29.8,68.2,35,Female,Sales,Married,Yes,Medium,Shiraz
29,11.1,111.6,22,Male,Finance,Married,No,Medium,Tehran
56,5.9,40.0,30,Male,Marketing,Married,No,High,Tehran
56,19.5,74.3,25,Male,IT,Single,No,Medium,Isfahan
54,32.8,31.0,30,Female,Marketing,Single,No,High,Mashhad
26,24.4,72.2,22,Female,HR,Single,No,Low,Isfahan
60,20.0,35.1,29,Male,Marketing,Married,No,Medium,Isfahan
49,3.4,40.7,26,Female,IT,Married,No,Low,Tehran
28,21.5,40.6,32,Male,Sales,Single,Yes,Medium,Shiraz
30,34.7,88.4,30,Male,Sales,Married,Yes,High,Mashhad
29,4.9,97.1,31,Female,Sales,Single,Yes,High,Tehran
33,18.1,82.5,23,Female,Sales,Married,No,Low,Shiraz
55,30.7,116.6,19,Female,Finance,Single,No,Medium,Mashhad
54,25.9,63.7,28,Female,Sales,Single,No,High,Tehran
44,24.4,55.7,27,Female,Finance,Married,No,Medium,Isfahan
45,24.6,108.2,26,Female,Marketing,Single,Yes,Medium,Tehran
58,12.6,50.1,23,Male,Sales,Single,Yes,High,Shiraz
56,10.3,116.7,33,Male,IT,Single,Yes,Medium,Isfahan
43,28.3,31.1,23,Male,HR,Married,No,Low,Shiraz
48,28.4,117.3,36,Male,Marketing,Married,Yes,Medium,Shiraz
56,30.3,33.9,26,Female,HR,Single,No,High,Tehran
22,32.0,110.2,27,Male,IT,Married,Yes,Medium,Mashhad
56,17.9,77.5,26,Male,Sales,Married,No,Low,Isfahan
58,17.6,119.4,34,Male,Finance,Single,Yes,High,Tehran
35,27.9,36.6,19,Female,Finance,Single,Yes,Low,Shiraz
24,22.7,79.8,27,Male,HR,Single,No,High,Shiraz
22,24.6,117.2,34,Female,Sales,Single,Yes,Medium,Tehran
26,27.9,77.1,31,Male,HR,Married,Yes,High,Mashhad
47,31.2,86.6,25,Male,Sales,Single,No,Medium,Mashhad
35,11.8,92.6,23,Female,Sales,Married,No,Medium,Tehran
60,13.1,70.9,22,Female,Sales,Married,Yes,Low,Mashhad
48,3.3,86.5,23,Male,Marketing,Single,Yes,Medium,Tehran
30,20.2,82.6,34,Female,Finance,Married,Yes,High,Tehran
36,1.3,111.1,23,Female,IT,Single,No,High,Tehran
36,16.3,34.1,24,Male,IT,Married,Yes,Medium,Mashhad
47,19.0,55.3,24,Female,Marketing,Married,No,Medium,Shiraz
34,10.0,115.5,20,Female,Marketing,Married,Yes,High,Tehran
53,20.7,110.1,24,Female,Marketing,Married,No,High,Isfahan
60,1.1,71.0,23,Female,Finance,Single,No,Medium,Shiraz
53,1.3,85.8,27,Female,Sales,Married,No,Medium,Tehran
25,28.8,55.0,27,Female,Finance,Married,No,Medium,Mashhad
51,12.6,46.9,38,Female,HR,Married,Yes,Medium,Mashhad
58,4.4,71.7,24,Female,Marketing,Married,No,Low,Isfahan
44,18.3,61.8,26,Female,IT,Married,No,Medium,Mashhad
60,26.9,82.5,29,Female,Marketing,Single,No,Medium,Isfahan
36,7.6,37.0,33,Female,Finance,Single,Yes,High,Mashhad
50,21.8,117.7,20,Male,Finance,Married,No,Low,Shiraz
57,3.0,118.8,25,Female,Marketing,Single,Yes,Medium,Shiraz
34,1.8,92.8,24,Female,Sales,Married,No,Medium,Tehran
53,18.6,78.2,24,Male,HR,Married,No,Medium,Mashhad
28,18.9,57.9,26,Female,Finance,Single,Yes,Low,Isfahan
43,22.3,103.2,20,Male,Sales,Single,No,Medium,Tehran
49,25.4,91.6,36,Male,HR,Married,Yes,Medium,Tehran
23,34.2,44.6,21,Female,HR,Single,No,Medium,Isfahan
27,18.1,112.0,24,Male,IT,Married,No,Medium,Isfahan
49,11.3,104.0,19,Female,Sales,Single,No,Medium,Shiraz
49,27.8,115.5,27,Female,IT,Married,No,High,Mashhad
41,9.5,95.3,20,Male,Finance,Single,Yes,Medium,Tehran
51,15.4,85.2,28,Male,Sales,Married,No,High,Shiraz
32,2.7,67.6,20,Male,Sales,Married,No,Medium,Tehran
49,0.9,113.9,21,Female,Finance,Married,Yes,Low,Mashhad
46,33.7,107.9,21,Female,Sales,Single,No,Low,Mashhad
60,29.3,34.1,23,Female,Finance,Married,No,Medium,Isfahan
54,24.4,32.4,20,Male,Marketing,Married,Yes,High,Shiraz
22,14.3,63.9,32,Female,Sales,Single,Yes,High,Tehran
48,6.1,102.9,17,Male,Finance,Single,No,High,Isfahan
34,5.5,118.9,26,Female,Marketing,Single,No,Medium,Mashhad
24,8.8,43.5,32,Male,Marketing,Married,Yes,Medium,Isfahan
60,19.2,83.5,23,Female,Marketing,Married,Yes,Low,Tehran
27,25.0,64.3,23,Male,HR,Married,No,Medium,Isfahan
29,23.1,117.3,21,Female,Sales,Single,No,Medium,Mashhad
48,9.8,105.8,24,Male,Marketing,Single,No,Low,Tehran
30,33.4,105.4,24,Female,Finance,Married,No,Medium,Tehran
58,25.8,72.2,19,Female,Sales,Married,No,Medium,Shiraz
54,19.4,67.3,25,Male,HR,Married,Yes,High,Mashhad
45,21.4,54.6,30,Female,Marketing,Single,No,High,Tehran
36,14.7,35.1,26,Female,IT,Married,No,High,Tehran
53,8.7,107.8,21,Male,Sales,Single,No,Medium,Tehran
53,12.5,103.2,25,Male,Finance,Single,Yes,Medium,Tehran
45,26.5,120.0,21,Female,Marketing,Married,No,Medium,Isfahan
33,0.5,119.7,33,Male,Sales,Married,Yes,High,Shiraz
60,4.1,80.0,26,Female,Sales,Married,Yes,Low,Shiraz
23,1.6,99.2,26,Male,Sales,Single,No,Medium,Shiraz
24,1.4,115.0,30,Female,Marketing,Single,No,High,Tehran
58,29.9,106.5,26,Male,Marketing,Married,No,Medium,Mashhad
38,24.6,52.3,27,Female,IT,Married,No,Medium,Isfahan
23,16.6,70.5,33,Female,Marketing,Single,Yes,Medium,Mashhad
23,3.4,41.6,23,Female,Sales,Single,No,Low,Shiraz
49,17.2,115.9,13,Female,HR,Single,No,Medium,Tehran
44,16.6,84.6,29,Male,IT,Married,No,Medium,Shiraz
58,6.1,50.6,26,Female,Sales,Single,No,Low,Tehran
53,15.2,90.5,23,Male,Sales,Single,No,Low,Shiraz
54,13.9,85.6,23,Male,Sales,Single,No,High,Tehran
22,21.6,62.2,22,Male,IT,Single,No,Medium,Tehran
40,22.2,40.2,25,Male,HR,Single,No,Medium,Mashhad
23,1.6,90.4,35,Female,Marketing,Married,Yes,Medium,Tehran
47,13.1,76.8,20,Female,IT,Single,No,High,Mashhad
53,21.9,99.5,21,Male,IT,Married,No,Medium,Tehran
27,17.6,76.8,14,Male,HR,Single,No,Medium,Shiraz
53,30.0,106.7,26,Female,Finance,Married,Yes,High,Shiraz
25,23.1,79.7,29,Male,Sales,Married,No,High,Isfahan
32,5.7,80.5,16,Male,Sales,Married,No,Low,Tehran
38,2.5,108.9,25,Male,Sales,Married,No,High,Tehran
59,22.5,66.3,24,Female,Sales,Single,No,Medium,Tehran
45,0.9,42.1,30,Female,Marketing,Single,No,Medium,Tehran
26,20.5,32.6,28,Male,Finance,Married,No,Low,Shiraz
55,32.9,98.0,26,Male,Sales,Married,No,Low,Mashhad
27,20.1,85.8,19,Female,Sales,Married,Yes,High,Mashhad
43,13.6,93.4,24,Female,Marketing,Married,No,Medium,Shiraz
32,22.5,49.2,26,Male,Finance,Married,Yes,Medium,Shiraz
37,16.0,42.3,27,Female,Marketing,Married,No,High,Shiraz
54,19.1,31.3,31,Male,Marketing,Single,Yes,High,Tehran
30,33.0,61.6,25,Male,Sales,Married,No,Low,Mashhad
27,13.5,83.1,34,Female,Sales,Married,Yes,Medium,Shiraz
37,33.6,65.3,26,Male,Finance,Single,No,Low,Isfahan
50,31.7,69.4,22,Female,Finance,Married,Yes,High,Tehran
24,6.9,111.4,25,Male,Sales,Single,Yes,Medium,Isfahan
